objsortnum_s	objmusno_s
000001 010065	1-10065
000016 012029 o	16-12029o
000001 205740	1-205740
000002 022166	2-22166
000025 014052	25-14052
000003 012944	3-12944
000009 005254	9-5254
000003 030818	3-30818
000001 168649 000027	1-168649.27
000001 123726	1-123726
000005 011483 b	5-11483b
000001 096874	1-96874
000002 051836	2-51836
000010 002138	10-2138
000001 057236	1-57236
000001 124079 000004	1-124079.4
000001 185436	1-185436
000015 006701	15-6701
000002 054359	2-54359
000001 008318	1-8318
000001 155171 000002	1-155171.2
000003 000643	3-643
000001 046418	1-46418
000011 002905	11-2905
000002 051937	2-51937
000001 132990	1-132990
000011 039551	11-39551
000011 014335	11-14335
000002 053397	2-53397
L 016163	L-16163
000011 039813	11-39813
000002 008657	2-8657
000001 189219	1-189219
000002 001500	2-1500
000003 018571	3-18571
000002 027322	2-27322
000001 156151	1-156151
000002 021381	2-21381
000005 003194	5-3194
000016 006574	16-6574
L 003498	L-3498
000002 029639	2-29639
000003 015211	3-15211
000011 005457	11-5457
000025 016242	25-16242
000015 012060	15-12060
000001 114643	1-114643
000025 012129	25-12129
000004 007144	4-7144
000012 000170 (0)	12-170(0)
000001 099376	1-99376
000001 000641	1-641
000001 118327	1-118327
000001 258856	1-258856
000012 009796 +A	12-9796+A
000002 010442	2-10442
000002 072595	2-72595
000001 164967	1-164967
000003 002857 000001	3-2857.1
000002 020593	2-20593
000011 017757	11-17757
L 003060	L-3060
000002 009799	2-9799
000009 017738 b	9-17738b
000005 002321	5-2321
000015 006538 plate	15-6538.plate
000001 180556	1-180556
000003 017125	3-17125
000001 125850	1-125850
000009 023216	9-23216
000001 097805	1-97805
000014 000263 000001	14-263.1
000001 203281	1-203281
000024 000137 NE#2.A.14	24-137.NE#2.A.14
000009 008739	9-8739
000015 002178 film	15-2178.film
000001 100300	1-100300
000011 044722	11-44722
000002 006846 a,b	2-6846a,b
000001 048024	1-48024
000001 227049	1-227049
000005 013862 b	5-13862b
000001 208808	1-208808
000015 004829 film	15-4829.film
000001 088108	1-88108
000001 211246	1-211246
000006 005820	6-5820
000012 005536 (0)	12-5536(0)
000011 008504	11-8504
000001 138358	1-138358
000003 000505	3-505
000011 002404	11-2404
000001 163141	1-163141
000002 035180	2-35180
000012 006079 D	12-6079D
000005 003028 a-c	5-3028a-c
000015 030570 	15-30570
000001 242923	1-242923
000012 003985	12-3985
000002 055854	2-55854
000006 005626	6-5626
000025 000699	25-699
000011 036201	11-36201
000001 043634	1-43634
000016 006657	16-6657
000001 045357	1-45357
000001 140475	1-140475
000001 107063	1-107063
000001 203622	1-203622
000001 088764	1-88764
000011 010896	11-10896
000002 069151	2-69151
000001 031295	1-31295
000002 006294	2-6294
000003 011879	3-11879
000016 005625	16-5625
000008 006559	8-6559
000011 013101 a-d	11-13101a-d
000011 007679	11-7679
000016 001260	16-1260
000001 072679	1-72679
000012 009249 000001	12-9249.1
000007 005757	7-5757
000003 006844	3-6844
000001 132003	1-132003
000002 049257 000002	2-49257.2
000001 100792	1-100792
000001 082841	1-82841
000016 007544	16-7544
000001 259438	1-259438
000001 099322	1-99322
000001 074082 000002	1-74082.2
000001 023708	1-23708
000011 006039 000003	11-6039.3
000005 010095	5-10095
000001 240512 _dupe	1-240512_dupe
